Experiment_Number,Metric,Model_Config,Score
Two,Accuracy,Analysis2_Cycks_With_Padding,0.8816
Two,Accuracy,Analysis2_Cycks_Without_Padding,0.983
Two,Accuracy,Analysis2_VGG_Without_Padding,0.958
Two,Accuracy,Analysis2_VGG_With_Padding,0.9525
Two,Accuracy,Analysis2_Red_Cycks_Without_Padding,0.9641
Two,Accuracy,Analysis2_Red_Cycks_With_Padding,0.9736
Two,Balanced_Acc,Analysis2_Cycks_With_Padding,0.8818
Two,Balanced_Acc,Analysis2_Cycks_Without_Padding,0.9831
Two,Balanced_Acc,Analysis2_VGG_Without_Padding,0.9578
Two,Balanced_Acc,Analysis2_VGG_With_Padding,0.9524
Two,Balanced_Acc,Analysis2_Red_Cycks_Without_Padding,0.9648
Two,Balanced_Acc,Analysis2_Red_Cycks_With_Padding,0.9738
Two,F1,Analysis2_Cycks_With_Padding,0.8818
Two,F1,Analysis2_Cycks_Without_Padding,0.983
Two,F1,Analysis2_VGG_Without_Padding,0.9581
Two,F1,Analysis2_VGG_With_Padding,0.9525
Two,F1,Analysis2_Red_Cycks_Without_Padding,0.9642
Two,F1,Analysis2_Red_Cycks_With_Padding,0.9739
Two,Log_Loss,Analysis2_Cycks_With_Padding,0.4588
Two,Log_Loss,Analysis2_Cycks_Without_Padding,0.0669
Two,Log_Loss,Analysis2_VGG_Without_Padding,0.2283
Two,Log_Loss,Analysis2_VGG_With_Padding,0.247
Two,Log_Loss,Analysis2_Red_Cycks_Without_Padding,0.1158
Two,Log_Loss,Analysis2_Red_Cycks_With_Padding,0.0896
Two,Precision,Analysis2_Cycks_With_Padding,0.8879
Two,Precision,Analysis2_Cycks_Without_Padding,0.9837
Two,Precision,Analysis2_VGG_Without_Padding,0.9587
Two,Precision,Analysis2_VGG_With_Padding,0.9536
Two,Precision,Analysis2_Red_Cycks_Without_Padding,0.9671
Two,Precision,Analysis2_Red_Cycks_With_Padding,0.976
Two,Recall,Analysis2_Cycks_With_Padding,0.8816
Two,Recall,Analysis2_Cycks_Without_Padding,0.983
Two,Recall,Analysis2_VGG_Without_Padding,0.958
Two,Recall,Analysis2_VGG_With_Padding,0.9525
Two,Recall,Analysis2_Red_Cycks_Without_Padding,0.9641
Two,Recall,Analysis2_Red_Cycks_With_Padding,0.9736
Two,ROC-AUC,Analysis2_Cycks_With_Padding,0.9969
Two,ROC-AUC,Analysis2_Cycks_Without_Padding,1
Two,ROC-AUC,Analysis2_VGG_Without_Padding,0.9994
Two,ROC-AUC,Analysis2_VGG_With_Padding,0.9993
Two,ROC-AUC,Analysis2_Red_Cycks_Without_Padding,0.9999
Two,ROC-AUC,Analysis2_Red_Cycks_With_Padding,0.9999
