Experiment_Number,Metric,Model_Config,Score
Zero,Accuracy,Analysis0_Cycks_With_Padding,0.8816
Zero,Accuracy,Analysis0_Cycks_Without_Padding,0.983
Zero,Accuracy,Analysis0_VGG_Without_Padding,0.958
Zero,Accuracy,Analysis0_VGG_With_Padding,0.9525
Zero,Accuracy,Analysis0_Red_Cycks_Without_Padding,0.9641
Zero,Accuracy,Analysis0_Red_Cycks_With_Padding,0.9736
Zero,Balanced_Acc,Analysis0_Cycks_With_Padding,0.8818
Zero,Balanced_Acc,Analysis0_Cycks_Without_Padding,0.9831
Zero,Balanced_Acc,Analysis0_VGG_Without_Padding,0.9578
Zero,Balanced_Acc,Analysis0_VGG_With_Padding,0.9524
Zero,Balanced_Acc,Analysis0_Red_Cycks_Without_Padding,0.9648
Zero,Balanced_Acc,Analysis0_Red_Cycks_With_Padding,0.9738
Zero,F1,Analysis0_Cycks_With_Padding,0.8818
Zero,F1,Analysis0_Cycks_Without_Padding,0.983
Zero,F1,Analysis0_VGG_Without_Padding,0.9581
Zero,F1,Analysis0_VGG_With_Padding,0.9525
Zero,F1,Analysis0_Red_Cycks_Without_Padding,0.9642
Zero,F1,Analysis0_Red_Cycks_With_Padding,0.9739
Zero,Log_Loss,Analysis0_Cycks_With_Padding,0.4588
Zero,Log_Loss,Analysis0_Cycks_Without_Padding,0.0669
Zero,Log_Loss,Analysis0_VGG_Without_Padding,0.2283
Zero,Log_Loss,Analysis0_VGG_With_Padding,0.247
Zero,Log_Loss,Analysis0_Red_Cycks_Without_Padding,0.1158
Zero,Log_Loss,Analysis0_Red_Cycks_With_Padding,0.0896
Zero,Precision,Analysis0_Cycks_With_Padding,0.8879
Zero,Precision,Analysis0_Cycks_Without_Padding,0.9837
Zero,Precision,Analysis0_VGG_Without_Padding,0.9587
Zero,Precision,Analysis0_VGG_With_Padding,0.9536
Zero,Precision,Analysis0_Red_Cycks_Without_Padding,0.9671
Zero,Precision,Analysis0_Red_Cycks_With_Padding,0.976
Zero,Recall,Analysis0_Cycks_With_Padding,0.8816
Zero,Recall,Analysis0_Cycks_Without_Padding,0.983
Zero,Recall,Analysis0_VGG_Without_Padding,0.958
Zero,Recall,Analysis0_VGG_With_Padding,0.9525
Zero,Recall,Analysis0_Red_Cycks_Without_Padding,0.9641
Zero,Recall,Analysis0_Red_Cycks_With_Padding,0.9736
Zero,ROC-AUC,Analysis0_Cycks_With_Padding,0.9969
Zero,ROC-AUC,Analysis0_Cycks_Without_Padding,1
Zero,ROC-AUC,Analysis0_VGG_Without_Padding,0.9994
Zero,ROC-AUC,Analysis0_VGG_With_Padding,0.9993
Zero,ROC-AUC,Analysis0_Red_Cycks_Without_Padding,0.9999
Zero,ROC-AUC,Analysis0_Red_Cycks_With_Padding,0.9999
